bin,accounts,mean_predicted_probability,observed_default_rate,calibration_gap
"(0.00119, 0.122]",600,0.08294182352694994,0.05333333333333334,-0.029608490193616603
"(0.122, 0.172]",600,0.14733879252690962,0.06333333333333334,-0.08400545919357628
"(0.172, 0.215]",600,0.19384807048198602,0.09833333333333333,-0.09551473714865269
"(0.215, 0.253]",600,0.2343108506222868,0.13333333333333333,-0.10097751728895346
"(0.253, 0.293]",600,0.272775089719154,0.14,-0.13277508971915397
"(0.293, 0.345]",600,0.3181423777756054,0.165,-0.15314237777560538
"(0.345, 0.415]",600,0.37820526202324684,0.18166666666666667,-0.19653859535658016
"(0.415, 0.557]",600,0.4780639049435915,0.25166666666666665,-0.22639723827692487
"(0.557, 0.734]",600,0.6451356220755072,0.43666666666666665,-0.20846895540884058
"(0.734, 0.998]",600,0.8325066852772642,0.6883333333333334,-0.14417335194393088
