risk_decile,accounts,defaults,mean_probability,observed_default_rate,capture_rate,cumulative_capture_rate,lift_vs_portfolio
1,600,413,0.8325066852772642,0.6883333333333334,0.31122833458929916,0.31122833458929916,3.1122833458929917
2,600,262,0.6451356220755072,0.43666666666666665,0.1974378296910324,0.5086661642803316,1.9743782969103238
3,600,151,0.4780639049435915,0.25166666666666665,0.11379050489826677,0.6224566691785984,1.1379050489826676
4,600,109,0.37820526202324684,0.18166666666666667,0.08214016578749057,0.704596834966089,0.8214016578749058
5,600,99,0.3181423777756054,0.165,0.0746043707611153,0.7792012057272043,0.746043707611153
6,600,84,0.272775089719154,0.14,0.06330067822155237,0.8425018839487567,0.6330067822155238
7,600,80,0.2343108506222868,0.13333333333333333,0.06028636021100226,0.902788244159759,0.6028636021100225
8,600,59,0.19384807048198602,0.09833333333333333,0.044461190655614165,0.9472494348153732,0.44461190655614163
9,600,38,0.14733879252690962,0.06333333333333334,0.028636021100226075,0.9758854559155993,0.2863602110022607
10,600,32,0.08294182352694994,0.05333333333333334,0.024114544084400905,1.0000000000000002,0.24114544084400905
